bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,23,0.5652173757553101,0.6504271030426025,0.08520972728729248,Chilli,Chilli,track_b_external,True
8,0.7000000000000001,0.8,0.75,18,0.7777777910232544,0.7424221634864807,0.03535562753677368,Chilli,Chilli,track_b_external,True
9,0.8,0.9,0.8500000000000001,6,0.8333333134651184,0.8489804267883301,0.01564711332321167,Chilli,Chilli,track_b_external,True
10,0.9,1.0,0.95,1,0.0,0.9577385783195496,0.9577385783195496,Chilli,Chilli,track_b_external,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,False
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,False
4,0.30000000000000004,0.4,0.35000000000000003,4,0.5,0.36313891410827637,0.13686108589172363,Chilli,Chilli,track_c_realworld,False
5,0.4,0.5,0.45,11,0.09090909361839294,0.45343711972236633,0.3625280261039734,Chilli,Chilli,track_c_realworld,False
6,0.5,0.6000000000000001,0.55,23,0.5652173757553101,0.5561652183532715,0.009052157402038574,Chilli,Chilli,track_c_realworld,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,20,0.6499999761581421,0.6466563940048218,0.0033435821533203125,Chilli,Chilli,track_c_realworld,False
8,0.7000000000000001,0.8,0.75,18,0.7777777910232544,0.7360990047454834,0.041678786277770996,Chilli,Chilli,track_c_realworld,False
9,0.8,0.9,0.8500000000000001,14,0.6428571343421936,0.8428047895431519,0.19994765520095825,Chilli,Chilli,track_c_realworld,False
10,0.9,1.0,0.95,7,0.8571428656578064,0.9416481852531433,0.08450531959533691,Chilli,Chilli,track_c_realworld,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,True
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_c_realworld,True
4,0.30000000000000004,0.4,0.35000000000000003,7,0.4285714328289032,0.35987403988838196,0.06869739294052124,Chilli,Chilli,track_c_realworld,True
5,0.4,0.5,0.45,19,0.31578946113586426,0.46133461594581604,0.14554515480995178,Chilli,Chilli,track_c_realworld,True
6,0.5,0.6000000000000001,0.55,28,0.5714285969734192,0.5421832203865051,0.029245376586914062,Chilli,Chilli,track_c_realworld,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,21,0.8095238208770752,0.6434242725372314,0.16609954833984375,Chilli,Chilli,track_c_realworld,True
8,0.7000000000000001,0.8,0.75,12,0.6666666865348816,0.7401025891304016,0.07343590259552002,Chilli,Chilli,track_c_realworld,True
9,0.8,0.9,0.8500000000000001,7,0.7142857313156128,0.832740843296051,0.11845511198043823,Chilli,Chilli,track_c_realworld,True
10,0.9,1.0,0.95,3,1.0,0.9295631051063538,0.07043689489364624,Chilli,Chilli,track_c_realworld,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,False
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,False
4,0.30000000000000004,0.4,0.35000000000000003,3,0.0,0.37537550926208496,0.37537550926208496,Chilli,Chilli,track_d_cross_crop,False
5,0.4,0.5,0.45,12,0.0,0.45194193720817566,0.45194193720817566,Chilli,Chilli,track_d_cross_crop,False
6,0.5,0.6000000000000001,0.55,11,0.0,0.5315420627593994,0.5315420627593994,Chilli,Chilli,track_d_cross_crop,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,11,0.0,0.6351612210273743,0.6351612210273743,Chilli,Chilli,track_d_cross_crop,False
8,0.7000000000000001,0.8,0.75,8,0.0,0.7475894689559937,0.7475894689559937,Chilli,Chilli,track_d_cross_crop,False
9,0.8,0.9,0.8500000000000001,16,0.0,0.843383252620697,0.843383252620697,Chilli,Chilli,track_d_cross_crop,False
10,0.9,1.0,0.95,14,0.0,0.9541557431221008,0.9541557431221008,Chilli,Chilli,track_d_cross_crop,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,True
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_d_cross_crop,True
4,0.30000000000000004,0.4,0.35000000000000003,7,0.0,0.37132835388183594,0.37132835388183594,Chilli,Chilli,track_d_cross_crop,True
5,0.4,0.5,0.45,17,0.0,0.45211026072502136,0.45211026072502136,Chilli,Chilli,track_d_cross_crop,True
6,0.5,0.6000000000000001,0.55,12,0.0,0.5438482761383057,0.5438482761383057,Chilli,Chilli,track_d_cross_crop,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,8,0.0,0.6571651101112366,0.6571651101112366,Chilli,Chilli,track_d_cross_crop,True
8,0.7000000000000001,0.8,0.75,15,0.0,0.7497658133506775,0.7497658133506775,Chilli,Chilli,track_d_cross_crop,True
9,0.8,0.9,0.8500000000000001,8,0.0,0.8456078767776489,0.8456078767776489,Chilli,Chilli,track_d_cross_crop,True
10,0.9,1.0,0.95,8,0.0,0.9418349862098694,0.9418349862098694,Chilli,Chilli,track_d_cross_crop,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,False
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,False
4,0.30000000000000004,0.4,0.35000000000000003,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,False
5,0.4,0.5,0.45,2,0.0,0.4697107672691345,0.4697107672691345,Chilli,Chilli,track_d_unrelated,False
6,0.5,0.6000000000000001,0.55,2,0.0,0.580251932144165,0.580251932144165,Chilli,Chilli,track_d_unrelated,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,4,0.0,0.6310198307037354,0.6310198307037354,Chilli,Chilli,track_d_unrelated,False
8,0.7000000000000001,0.8,0.75,3,0.0,0.7734391093254089,0.7734391093254089,Chilli,Chilli,track_d_unrelated,False
9,0.8,0.9,0.8500000000000001,5,0.0,0.8688634634017944,0.8688634634017944,Chilli,Chilli,track_d_unrelated,False
10,0.9,1.0,0.95,4,0.0,0.980880081653595,0.980880081653595,Chilli,Chilli,track_d_unrelated,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,True
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,True
4,0.30000000000000004,0.4,0.35000000000000003,0,0.0,0.0,0.0,Chilli,Chilli,track_d_unrelated,True
5,0.4,0.5,0.45,2,0.0,0.4414641559123993,0.4414641559123993,Chilli,Chilli,track_d_unrelated,True
6,0.5,0.6000000000000001,0.55,5,0.0,0.5302964448928833,0.5302964448928833,Chilli,Chilli,track_d_unrelated,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,2,0.0,0.6464470624923706,0.6464470624923706,Chilli,Chilli,track_d_unrelated,True
8,0.7000000000000001,0.8,0.75,5,0.0,0.7436713576316833,0.7436713576316833,Chilli,Chilli,track_d_unrelated,True
9,0.8,0.9,0.8500000000000001,3,0.0,0.8490787148475647,0.8490787148475647,Chilli,Chilli,track_d_unrelated,True
10,0.9,1.0,0.95,3,0.0,0.9770059585571289,0.9770059585571289,Chilli,Chilli,track_d_unrelated,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Sugarcane,Sugarcane,validation,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Sugarcane,Sugarcane,validation,False
3,0.2,0.30000000000000004,0.25,3,0.0,0.28887948393821716,0.28887948393821716,Sugarcane,Sugarcane,validation,False
4,0.30000000000000004,0.4,0.35000000000000003,29,0.4137931168079376,0.3594013452529907,0.0543917715549469,Sugarcane,Sugarcane,validation,False
5,0.4,0.5,0.45,65,0.6153846383094788,0.4529382586479187,0.16244637966156006,Sugarcane,Sugarcane,validation,False
6,0.5,0.6000000000000001,0.55,96,0.59375,0.5495877265930176,0.04416227340698242,Sugarcane,Sugarcane,validation,False
