evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Tomato,Mosaic / Viral Disease,5,0.7207858204841614,0.9567356109619141,D:\CropDiseaseProject\tomato_plantvillage\Tomato___healthy\651c7556-f25e-46b9-97db-4793a2a3b642___RS_HL 0219.JPG
TRACK_A_INTERNAL,Chilli,murda complex,healthy,5,0.5134568095207215,0.628335177898407,D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4220.JPG
TRACK_A_INTERNAL,Grape,Esca (Black Measles),Leaf Blight,5,0.7464247465133667,0.8197223544120789,D:\CropDiseaseProject\grape_2024\esca\esca259.jpg
TRACK_B_EXTERNAL,Grape,Leaf Blight,Healthy Leaves,5,0.6954462885856628,0.9738986492156982,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Leaf Blight\baliwaka_00000009.jpg
TRACK_B_EXTERNAL,Chilli,murda complex,nutritional deficiency,5,0.4643853783607483,0.7983828186988831,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\murda complex\ulfa_Leaf_Curl__1007_.jpg
TRACK_C_REALWORLD,Sugarcane,Red Rot,Brown Spot,4,0.667292132973671,0.9439693093299866,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\sugarcane\Red Rot\sc_field_S_RR-26-_JPG.rf.95179375be6727f1482f0e92080f2947.jpg
TRACK_B_EXTERNAL,Grape,Esca (Black Measles),Downy Mildew,4,0.8150693327188492,0.9976304769515991,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000011.jpg
TRACK_A_INTERNAL,Sugarcane,Brown Spot,Yellow Leaf Disease,4,0.6068617105484009,0.7604958415031433,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image047.jpg
TRACK_A_INTERNAL,Sugarcane,Rust (Brown Rust),Brown Spot,4,0.5189929828047752,0.7847765684127808,D:\CropDiseaseProject\sugarcane_large\Diseases\BrownRust\image175.jpg
TRACK_A_INTERNAL,Sugarcane,Mosaic / Viral Disease,Rust (Brown Rust),4,0.5142480209469795,0.8304747343063354,D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (63).jpeg
TRACK_A_INTERNAL,Sugarcane,Mosaic / Viral Disease,Yellow Leaf Disease,4,0.6519426479935646,0.8140138387680054,D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (23).jpeg
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Grape,Tomato___Early_blight,4,0.7739341855049133,0.998950183391571,D:\CropDiseaseProject\grape_2024\Black rot\black rot663.jpg
TRACK_A_INTERNAL,Sugarcane,Smut,Pokkah Boeng,4,0.5749082863330841,0.647650420665741,D:\CropDiseaseProject\sugarcane_large\Diseases\smut\Smut087.jpg
TRACK_C_REALWORLD,Grape,Downy Mildew,Black Rot,4,0.7398043572902679,0.9379409551620483,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Downy Mildew\gldd_field_septoria-leaf-spota_jpg.rf.c2becf5aa3f448f8b66d0bf7da470932.jpg
